species_id,eng_name_key,kor_name_key,name,form_key,type_a,type_b,generation,Gender_Unknown,Gender_Male,Gender_Female,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Experience_Type,Category,HP,A,B,C,D,S,Total
18,Pidgeot,피죤투,Pidgeot,Default,Normal,Flying,1,FALSE,50,50,15,Flying,,45,MediumSlow,Ordinary,83,80,75,70,70,101,479
18,Pidgeot,피죤투,Mega Pidgeot,Mega,Normal,Flying,1,FALSE,50,50,15,Flying,,45,MediumSlow,Ordinary,83,80,80,135,80,121,579
19,Rattata,꼬렛,Rattata,Default,Normal,None,1,FALSE,50,50,15,Ground,,255,MediumFast,Ordinary,30,56,35,25,35,72,253
19,Rattata,꼬렛,Alolan Rattata,Alolan,Dark,Normal,7,FALSE,50,50,15,Ground,,255,MediumFast,Ordinary,30,56,35,25,35,72,253
20,Raticate,레트라,Raticate,Default,Normal,None,1,FALSE,50,50,15,Ground,,127,MediumFast,Ordinary,55,81,60,50,70,97,413
20,Raticate,레트라,Alolan Raticate,Alolan,Dark,Normal,7,FALSE,50,50,15,Ground,,127,MediumFast,Ordinary,75,71,70,40,80,77,413
21,Spearow,깨비참,Spearow,Default,Normal,Flying,1,FALSE,50,50,15,Flying,,255,MediumFast,Ordinary,40,60,30,31,31,70,262
22,Fearow,깨비드릴조,Fearow,Default,Normal,Flying,1,FALSE,50,50,15,Flying,,90,MediumFast,Ordinary,65,90,65,61,61,100,442
23,Ekans,아보,Ekans,Default,Poison,None,1,FALSE,50,50,20,Ground,Dragon,255,MediumFast,Ordinary,35,60,44,40,54,55,288
24,Arbok,아보크,Arbok,Default,Poison,None,1,FALSE,50,50,20,Ground,Dragon,90,MediumFast,Ordinary,60,95,69,65,79,80,448
25,Pikachu,피카츄,Pikachu,Default,Electric,None,1,FALSE,50,50,10,Ground,Fairy,190,MediumFast,Ordinary,35,55,40,50,50,90,320
26,Raichu,라이츄,Raichu,Default,Electric,None,1,FALSE,50,50,10,Ground,Fairy,75,MediumFast,Ordinary,60,90,55,90,80,110,485
26,Raichu,라이츄,Alolan Raichu,Alolan,Electric,Psychic,7,FALSE,50,50,10,Ground,Fairy,75,MediumFast,Ordinary,60,85,50,95,85,110,485
27,Sandshrew,모래두지,Sandshrew,Default,Ground,None,1,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,50,75,85,20,30,40,300
27,Sandshrew,모래두지,Alolan Sandshrew,Alolan,Ice,Steel,7,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,50,75,90,10,35,40,300
28,Sandslash,고지,Sandslash,Default,Ground,None,1,FALSE,50,50,20,Ground,,90,MediumFast,Ordinary,75,100,110,45,55,65,450
28,Sandslash,고지,Alolan Sandslash,Alolan,Ice,Steel,7,FALSE,50,50,20,Ground,,90,MediumFast,Ordinary,75,100,120,25,65,65,450
29,Nidoran F,니드런♀,Nidoran F,Default,Poison,None,1,FALSE,0,100,20,Monster,Ground,235,MediumSlow,Ordinary,55,47,52,40,40,41,275
30,Nidorina,니드리나,Nidorina,Default,Poison,None,1,FALSE,0,100,20,Undiscovered,,120,MediumSlow,Ordinary,70,62,67,55,55,56,365
31,Nidoqueen,니드퀸,Nidoqueen,Default,Poison,Ground,1,FALSE,0,100,20,Undiscovered,,45,MediumSlow,Ordinary,90,92,87,75,85,76,505
32,Nidoran M,니드런♂,Nidoran M,Default,Poison,None,1,FALSE,100,0,20,Monster,Ground,235,MediumSlow,Ordinary,46,57,40,40,40,50,273
33,Nidorino,니드리노,Nidorino,Default,Poison,None,1,FALSE,100,0,20,Monster,Ground,120,MediumSlow,Ordinary,61,72,57,55,55,65,365
34,Nidoking,니드킹,Nidoking,Default,Poison,Ground,1,FALSE,100,0,20,Monster,Ground,45,MediumSlow,Ordinary,81,102,77,85,75,85,505
35,Clefairy,삐삐,Clefairy,Default,Fairy,None,1,FALSE,25,75,10,Fairy,,150,Fast,Ordinary,70,45,48,60,65,35,323
36,Clefable,픽시,Clefable,Default,Fairy,None,1,FALSE,25,75,10,Fairy,,25,Fast,Ordinary,95,70,73,95,90,60,483
37,Vulpix,식스테일,Vulpix,Default,Fire,None,1,FALSE,25,75,20,Ground,,190,MediumFast,Ordinary,38,41,40,50,65,65,299
37,Vulpix,식스테일,Alolan Vulpix,Alolan,Ice,None,7,FALSE,25,75,20,Ground,,190,MediumFast,Ordinary,38,41,40,50,65,65,299
38,Ninetales,나인테일,Ninetales,Default,Fire,None,1,FALSE,25,75,20,Ground,,75,MediumFast,Ordinary,73,76,75,81,100,100,505
38,Ninetales,나인테일,Alolan Ninetales,Alolan,Ice,Fairy,7,FALSE,25,75,20,Ground,,75,MediumFast,Ordinary,73,67,75,81,100,109,505
39,Jigglypuff,푸린,Jigglypuff,Default,Normal,Fairy,1,FALSE,25,75,10,Fairy,,170,Fast,Ordinary,115,45,20,45,25,20,270
40,Wigglytuff,푸크린,Wigglytuff,Default,Normal,Fairy,1,FALSE,25,75,10,Fairy,,50,Fast,Ordinary,140,70,45,85,50,45,435
41,Zubat,주뱃,Zubat,Default,Poison,Flying,1,FALSE,50,50,15,Flying,,255,MediumFast,Ordinary,40,45,35,30,40,55,245
42,Golbat,골뱃,Golbat,Default,Poison,Flying,1,FALSE,50,50,15,Flying,,90,MediumFast,Ordinary,75,80,70,65,75,90,455
43,Oddish,뚜벅쵸,Oddish,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,255,MediumSlow,Ordinary,45,50,55,75,65,30,320
44,Gloom,냄새꽃,Gloom,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,120,MediumSlow,Ordinary,60,65,70,85,75,40,395
45,Vileplume,라플레시아,Vileplume,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,45,MediumSlow,Ordinary,75,80,85,110,90,50,490
46,Paras,파라스,Paras,Default,Bug,Grass,1,FALSE,50,50,20,Bug,Grass,190,MediumFast,Ordinary,35,70,55,45,55,25,285
47,Parasect,파라섹트,Parasect,Default,Bug,Grass,1,FALSE,50,50,20,Bug,Grass,75,MediumFast,Ordinary,60,95,80,60,80,30,405
48,Venonat,콘팡,Venonat,Default,Bug,Poison,1,FALSE,50,50,20,Bug,,190,MediumFast,Ordinary,60,55,50,40,55,45,305
49,Venomoth,도나리,Venomoth,Default,Bug,Poison,1,FALSE,50,50,20,Bug,,75,MediumFast,Ordinary,70,65,60,90,75,90,450
50,Diglett,디그다,Diglett,Default,Ground,None,1,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,10,55,25,35,45,95,265
50,Diglett,디그다,Alolan Diglett,Alolan,Ground,Steel,7,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,10,55,30,35,45,90,265
51,Dugtrio,닥트리오,Dugtrio,Default,Ground,None,1,FALSE,50,50,20,Ground,,50,MediumFast,Ordinary,35,100,50,50,70,120,425
51,Dugtrio,닥트리오,Alolan Dugtrio,Alolan,Ground,Steel,7,FALSE,50,50,20,Ground,,50,MediumFast,Ordinary,35,100,60,50,70,110,425
52,Meowth,나옹,Meowth,Default,Normal,None,1,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,40,45,35,40,40,90,290
52,Meowth,나옹,Alolan Meowth,Alolan,Dark,None,7,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,40,35,35,50,40,90,290
52,Meowth,나옹,Galarian Meowth,Galarian,Steel,None,8,FALSE,50,50,20,Ground,,255,MediumFast,Ordinary,50,65,55,40,40,40,290
53,Persian,페르시온,Persian,Default,Normal,None,1,FALSE,50,50,20,Ground,,90,MediumFast,Ordinary,65,70,60,65,65,115,440
53,Persian,페르시온,Alolan Persian,Alolan,Dark,None,7,FALSE,50,50,20,Ground,,90,MediumFast,Ordinary,65,60,60,75,65,115,440
54,Psyduck,고라파덕,Psyduck,Default,Water,None,1,FALSE,50,50,20,Water1,Ground,190,MediumFast,Ordinary,50,52,48,65,50,55,320
55,Golduck,골덕,Golduck,Default,Water,None,1,FALSE,50,50,20,Water1,Ground,75,MediumFast,Ordinary,80,82,78,95,80,85,500
56,Mankey,망키,Mankey,Default,Fighting,None,1,FALSE,50,50,20,Ground,,190,MediumFast,Ordinary,40,80,35,35,45,70,305
57,Primeape,성원숭,Primeape,Default,Fighting,None,1,FALSE,50,50,20,Ground,,75,MediumFast,Ordinary,65,105,60,60,70,95,455
58,Growlithe,가디,Growlithe,Default,Fire,None,1,FALSE,75,25,20,Ground,,190,Slow,Ordinary,55,70,45,70,50,60,350
58,Growlithe,가디,Hisuian Growlithe,Hisuian,Fire,Rock,8,FALSE,75,25,20,Ground,,190,Slow,Ordinary,60,75,45,65,50,55,350
59,Arcanine,윈디,Arcanine,Default,Fire,None,1,FALSE,75,25,20,Ground,,75,Slow,Ordinary,90,110,80,100,80,95,555
59,Arcanine,윈디,Hisuian Arcanine,Hisuian,Fire,Rock,8,FALSE,75,25,20,Ground,,75,Slow,Ordinary,95,115,80,95,80,90,555
60,Poliwag,발챙이,Poliwag,Default,Water,None,1,FALSE,50,50,20,Water1,,255,MediumSlow,Ordinary,40,50,40,40,40,90,300
61,Poliwhirl,슈륙챙이,Poliwhirl,Default,Water,None,1,FALSE,50,50,20,Water1,,120,MediumSlow,Ordinary,65,65,65,50,50,90,385
62,Poliwrath,강챙이,Poliwrath,Default,Water,Fighting,1,FALSE,50,50,20,Water1,,45,MediumSlow,Ordinary,90,95,95,70,90,70,510
63,Abra,캐이시,Abra,Default,Psychic,None,1,FALSE,75,25,20,Human-Like,,200,MediumSlow,Ordinary,25,20,15,105,55,90,310
64,Kadabra,윤겔라,Kadabra,Default,Psychic,None,1,FALSE,75,25,20,Human-Like,,100,MediumSlow,Ordinary,40,35,30,120,70,105,400
65,Alakazam,후딘,Alakazam,Default,Psychic,None,1,FALSE,75,25,20,Human-Like,,50,MediumSlow,Ordinary,55,50,45,135,95,120,500
65,Alakazam,후딘,Mega Alakazam,Mega,Psychic,None,1,FALSE,75,25,20,Human-Like,,50,MediumSlow,Ordinary,55,50,65,175,105,150,600
66,Machop,알통몬,Machop,Default,Fighting,None,1,FALSE,75,25,20,Human-Like,,180,MediumSlow,Ordinary,70,80,50,35,35,35,305
67,Machoke,근육몬,Machoke,Default,Fighting,None,1,FALSE,75,25,20,Human-Like,,90,MediumSlow,Ordinary,80,100,70,50,60,45,405
68,Machamp,괴력몬,Machamp,Default,Fighting,None,1,FALSE,75,25,20,Human-Like,,45,MediumSlow,Ordinary,90,130,80,65,85,55,505
69,Bellsprout,모다피,Bellsprout,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,255,MediumSlow,Ordinary,50,75,35,70,30,40,300
70,Weepinbell,우츠동,Weepinbell,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,120,MediumSlow,Ordinary,65,90,50,85,45,55,390
71,Victreebel,우츠보트,Victreebel,Default,Grass,Poison,1,FALSE,50,50,20,Grass,,45,MediumSlow,Ordinary,80,105,65,100,70,70,490
72,Tentacool,왕눈해,Tentacool,Default,Water,Poison,1,FALSE,50,50,20,Water3,,190,Slow,Ordinary,40,40,35,50,100,70,335
73,Tentacruel,독파리,Tentacruel,Default,Water,Poison,1,FALSE,50,50,20,Water3,,60,Slow,Ordinary,80,70,65,80,120,100,515
74,Geodude,꼬마돌,Geodude,Default,Rock,Ground,1,FALSE,50,50,15,Mineral,,255,MediumSlow,Ordinary,40,80,100,30,30,20,300
74,Geodude,꼬마돌,Alolan Geodude,Alolan,Rock,Electric,7,FALSE,50,50,15,Mineral,,255,MediumSlow,Ordinary,40,80,100,30,30,20,300
75,Graveler,데구리,Graveler,Default,Rock,Ground,1,FALSE,50,50,15,Mineral,,120,MediumSlow,Ordinary,55,95,115,45,45,35,390
75,Graveler,데구리,Alolan Graveler,Alolan,Rock,Electric,7,FALSE,50,50,15,Mineral,,120,MediumSlow,Ordinary,55,95,115,45,45,35,390
76,Golem,딱구리,Golem,Default,Rock,Ground,1,FALSE,50,50,15,Mineral,,45,MediumSlow,Ordinary,80,120,130,55,65,45,495
76,Golem,딱구리,Alolan Golem,Alolan,Rock,Electric,7,FALSE,50,50,15,Mineral,,45,MediumSlow,Ordinary,80,120,130,55,65,45,495
77,Ponyta,포니타,Ponyta,Default,Fire,None,1,FALSE,50,50,20,Ground,,190,MediumFast,Ordinary,50,85,55,65,65,90,410
77,Ponyta,포니타,Galarian Ponyta,Galarian,Psychic,None,8,FALSE,50,50,20,Ground,,190,MediumFast,Ordinary,50,85,55,65,65,90,410
78,Rapidash,날쌩마,Rapidash,Default,Fire,None,1,FALSE,50,50,20,Ground,,60,MediumFast,Ordinary,65,100,70,80,80,105,500
78,Rapidash,날쌩마,Galarian Rapidash,Galarian,Psychic,Fairy,8,FALSE,50,50,20,Ground,,60,MediumFast,Ordinary,65,100,70,80,80,105,500
79,Slowpoke,야돈,Slowpoke,Default,Water,Psychic,1,FALSE,50,50,20,Monster,Water1,190,MediumFast,Ordinary,90,65,65,40,40,15,315
79,Slowpoke,야돈,Galarian Slowpoke,Galarian,Psychic,None,8,FALSE,50,50,20,Monster,Water1,190,MediumFast,Ordinary,90,65,65,40,40,15,315
80,Slowbro,야도란,Slowbro,Default,Water,Psychic,1,FALSE,50,50,20,Monster,Water1,75,MediumFast,Ordinary,95,75,110,100,80,30,490
80,Slowbro,야도란,Galarian Slowbro,Galarian,Poison,Psychic,8,FALSE,50,50,20,Monster,Water1,75,MediumFast,Ordinary,95,100,95,100,70,30,490
80,Slowbro,야도란,Mega Slowbro,Mega,Water,Psychic,1,FALSE,50,50,20,Monster,Water1,75,MediumFast,Ordinary,95,75,180,130,80,30,590
81,Magnemite,코일,Magnemite,Default,Electric,Steel,1,TRUE,0,0,20,Mineral,,190,MediumFast,Ordinary,25,35,70,95,55,45,325
82,Magneton,레어코일,Magneton,Default,Electric,Steel,1,TRUE,0,0,20,Mineral,,60,MediumFast,Ordinary,50,60,95,120,70,70,465
83,Farfetch'd,파오리,Farfetch'd,Default,Normal,Flying,1,FALSE,50,50,20,Flying,Ground,45,MediumFast,Ordinary,52,90,55,58,62,60,377
83,Farfetch'd,파오리,Galarian Farfetch'd,Galarian,Fighting,None,8,FALSE,50,50,20,Flying,Ground,45,MediumFast,Ordinary,52,95,55,58,62,55,377
84,Doduo,두두,Doduo,Default,Normal,Flying,1,FALSE,50,50,20,Flying,,190,MediumFast,Ordinary,35,85,45,35,35,75,310
85,Dodrio,두트리오,Dodrio,Default,Normal,Flying,1,FALSE,50,50,20,Flying,,45,MediumFast,Ordinary,60,110,70,60,60,110,470
86,Seel,쥬쥬,Seel,Default,Water,None,1,FALSE,50,50,20,Water1,Ground,190,MediumFast,Ordinary,65,45,55,45,70,45,325
87,Dewgong,쥬레곤,Dewgong,Default,Water,Ice,1,FALSE,50,50,20,Water1,Ground,75,MediumFast,Ordinary,90,70,80,70,95,70,475
88,Grimer,질퍽이,Grimer,Default,Poison,None,1,FALSE,50,50,20,Amorphous,,190,MediumFast,Ordinary,80,80,50,40,50,25,325
88,Grimer,질퍽이,Alolan Grimer,Alolan,Poison,Dark,7,FALSE,50,50,20,Amorphous,,190,MediumFast,Ordinary,80,80,50,40,50,25,325
89,Muk,질뻐기,Muk,Default,Poison,None,1,FALSE,50,50,20,Amorphous,,75,MediumFast,Ordinary,105,105,75,65,100,50,500
89,Muk,질뻐기,Alolan Muk,Alolan,Poison,Dark,7,FALSE,50,50,20,Amorphous,,75,MediumFast,Ordinary,105,105,75,65,100,50,500
90,Shellder,셀러,Shellder,Default,Water,None,1,FALSE,50,50,20,Water3,,190,Slow,Ordinary,30,65,100,45,25,40,305
91,Cloyster,파르셀,Cloyster,Default,Water,Ice,1,FALSE,50,50,20,Water3,,60,Slow,Ordinary,50,95,180,85,45,70,525
92,Gastly,고오스,Gastly,Default,Ghost,Poison,1,FALSE,50,50,20,Amorphous,,190,MediumSlow,Ordinary,30,35,30,100,35,80,310
93,Haunter,고우스트,Haunter,Default,Ghost,Poison,1,FALSE,50,50,20,Amorphous,,90,MediumSlow,Ordinary,45,50,45,115,55,95,405
94,Gengar,팬텀,Gengar,Default,Ghost,Poison,1,FALSE,50,50,20,Amorphous,,45,MediumSlow,Ordinary,60,65,60,130,75,110,500
94,Gengar,팬텀,Mega Gengar,Mega,Ghost,Poison,1,FALSE,50,50,20,Amorphous,,45,MediumSlow,Ordinary,60,65,80,170,95,130,600
95,Onix,롱스톤,Onix,Default,Rock,Ground,1,FALSE,50,50,25,Mineral,,45,MediumFast,Ordinary,35,45,160,30,45,70,385
96,Drowzee,슬리프,Drowzee,Default,Psychic,None,1,FALSE,50,50,20,Human-Like,,190,MediumFast,Ordinary,60,48,45,43,90,42,328
97,Hypno,슬리퍼,Hypno,Default,Psychic,None,1,FALSE,50,50,20,Human-Like,,75,MediumFast,Ordinary,85,73,70,73,115,67,483
98,Krabby,크랩,Krabby,Default,Water,None,1,FALSE,50,50,20,Water3,,225,MediumFast,Ordinary,30,105,90,25,25,50,325
99,Kingler,킹크랩,Kingler,Default,Water,None,1,FALSE,50,50,20,Water3,,60,MediumFast,Ordinary,55,130,115,50,50,75,475
100,Voltorb,찌리리공,Voltorb,Default,Electric,None,1,TRUE,0,0,20,Mineral,,190,MediumFast,Ordinary,40,30,50,55,55,100,330
100,Voltorb,찌리리공,Hisuian Voltorb,Hisuian,Electric,Grass,8,TRUE,0,0,20,Mineral,,190,MediumFast,Ordinary,40,30,50,55,55,100,330
101,Electrode,붐볼,Electrode,Default,Electric,None,1,TRUE,0,0,20,Mineral,,60,MediumFast,Ordinary,60,50,70,80,80,150,490
101,Electrode,붐볼,Hisuian Electrode,Hisuian,Electric,Grass,8,TRUE,0,0,20,Mineral,,60,MediumFast,Ordinary,60,50,70,80,80,150,490
102,Exeggcute,아라리,Exeggcute,Default,Grass,Psychic,1,FALSE,50,50,20,Grass,,90,Slow,Ordinary,60,40,80,60,45,40,325
103,Exeggutor,나시,Exeggutor,Default,Grass,Psychic,1,FALSE,50,50,20,Grass,,45,Slow,Ordinary,95,95,85,125,75,55,530
103,Exeggutor,나시,Alolan Exeggutor,Alolan,Grass,Dragon,7,FALSE,50,50,20,Grass,,45,Slow,Ordinary,95,105,85,125,75,45,530
104,Cubone,탕구리,Cubone,Default,Ground,None,1,FALSE,50,50,20,Monster,,190,MediumFast,Ordinary,50,50,95,40,50,35,320
105,Marowak,텅구리,Marowak,Default,Ground,None,1,FALSE,50,50,20,Monster,,75,MediumFast,Ordinary,60,80,110,50,80,45,425
105,Marowak,텅구리,Alolan Marowak,Alolan,Fire,Ghost,7,FALSE,50,50,20,Monster,,75,MediumFast,Ordinary,60,80,110,50,80,45,425
106,Hitmonlee,시라소몬,Hitmonlee,Default,Fighting,None,1,FALSE,100,0,25,Human-Like,,45,MediumFast,Ordinary,50,120,53,35,110,87,455
107,Hitmonchan,홍수몬,Hitmonchan,Default,Fighting,None,1,FALSE,100,0,25,Human-Like,,45,MediumFast,Ordinary,50,105,79,35,110,76,455
108,Lickitung,내루미,Lickitung,Default,Normal,None,1,FALSE,50,50,20,Monster,,45,MediumFast,Ordinary,90,55,75,60,75,30,385
109,Koffing,또가스,Koffing,Default,Poison,None,1,FALSE,50,50,20,Amorphous,,190,MediumFast,Ordinary,40,65,95,60,45,35,340
110,Weezing,또도가스,Weezing,Default,Poison,None,1,FALSE,50,50,20,Amorphous,,60,MediumFast,Ordinary,65,90,120,85,70,60,490
110,Weezing,또도가스,Galarian Weezing,Galarian,Poison,Fairy,8,FALSE,50,50,20,Amorphous,,60,MediumFast,Ordinary,65,90,120,85,70,60,490
111,Rhyhorn,뿔카노,Rhyhorn,Default,Ground,Rock,1,FALSE,50,50,20,Monster,Ground,120,Slow,Ordinary,80,85,95,30,30,25,345
112,Rhydon,코뿌리,Rhydon,Default,Ground,Rock,1,FALSE,50,50,20,Monster,Ground,60,Slow,Ordinary,105,130,120,45,45,40,485
113,Chansey,럭키,Chansey,Default,Normal,None,1,FALSE,0,100,40,Fairy,,30,Fast,Ordinary,250,5,5,35,105,50,450
114,Tangela,덩쿠리,Tangela,Default,Grass,None,1,FALSE,50,50,20,Grass,,45,MediumFast,Ordinary,65,55,115,100,40,60,435
115,Kangaskhan,캥카,Kangaskhan,Default,Normal,None,1,FALSE,0,100,20,Monster,,45,MediumFast,Ordinary,105,95,80,40,80,90,490
115,Kangaskhan,캥카,Mega Kangaskhan,Mega,Normal,None,1,FALSE,0,100,20,Monster,,45,MediumFast,Ordinary,105,125,100,60,100,100,590
116,Horsea,쏘드라,Horsea,Default,Water,None,1,FALSE,50,50,20,Water1,Dragon,225,MediumFast,Ordinary,30,40,70,70,25,60,295
117,Seadra,시드라,Seadra,Default,Water,None,1,FALSE,50,50,20,Water1,Dragon,75,MediumFast,Ordinary,55,65,95,95,45,85,440
118,Goldeen,콘치,Goldeen,Default,Water,None,1,FALSE,50,50,20,Water2,,225,MediumFast,Ordinary,45,67,60,35,50,63,320
119,Seaking,왕콘치,Seaking,Default,Water,None,1,FALSE,50,50,20,Water2,,60,MediumFast,Ordinary,80,92,65,65,80,68,450
120,Staryu,별가사리,Staryu,Default,Water,None,1,TRUE,0,0,20,Water3,,225,Slow,Ordinary,30,45,55,70,55,85,340
121,Starmie,아쿠스타,Starmie,Default,Water,Psychic,1,TRUE,0,0,20,Water3,,60,Slow,Ordinary,60,75,85,100,85,115,520
122,Mr. Mime,마임맨,Mr. Mime,Default,Psychic,Fairy,1,FALSE,50,50,25,Human-Like,,45,MediumFast,Ordinary,40,45,65,100,120,90,460
122,Mr. Mime,마임맨,Galarian Mr. Mime,Galarian,Ice,Psychic,8,FALSE,50,50,25,Human-Like,,45,MediumFast,Ordinary,50,65,65,90,90,100,460
123,Scyther,스라크,Scyther,Default,Bug,Flying,1,FALSE,50,50,25,Bug,,45,MediumFast,Ordinary,70,110,80,55,80,105,500
124,Jynx,루주라,Jynx,Default,Ice,Psychic,1,FALSE,0,100,25,Human-Like,,45,MediumFast,Ordinary,65,50,35,115,95,95,455
125,Electabuzz,에레브,Electabuzz,Default,Electric,None,1,FALSE,75,25,25,Human-Like,,45,MediumFast,Ordinary,65,83,57,95,85,105,490
126,Magmar,마그마,Magmar,Default,Fire,None,1,FALSE,75,25,25,Human-Like,,45,MediumFast,Ordinary,65,95,57,100,85,93,495
127,Pinsir,쁘사이저,Pinsir,Default,Bug,None,1,FALSE,50,50,25,Bug,,45,Slow,Ordinary,65,125,100,55,70,85,500
127,Pinsir,쁘사이저,Mega Pinsir,Mega,Bug,Flying,1,FALSE,50,50,25,Bug,,45,Slow,Ordinary,65,155,120,65,90,105,600
128,Tauros,켄타로스,Tauros,Default,Normal,None,1,FALSE,100,0,20,Ground,,45,Slow,Ordinary,75,100,95,40,70,110,490
128,Tauros,켄타로스,Paldean Tauros Combat Breed,Paldean,Fighting,None,1,FALSE,100,0,20,Ground,,45,Slow,Ordinary,75,110,105,30,70,100,490
128,Tauros,켄타로스,Paldean Tauros Blaze Breed,Paldean,Fighting,Fire,9,FALSE,100,0,20,Ground,,45,Slow,Ordinary,75,110,105,30,70,100,490
128,Tauros,켄타로스,Paldean Tauros Aqua Breed,Paldean,Fighting,Water,9,FALSE,100,0,20,Ground,,45,Slow,Ordinary,75,110,105,30,70,100,490
129,Magikarp,잉어킹,Magikarp,Default,Water,None,1,FALSE,50,50,5,Water2,Dragon,255,Slow,Ordinary,20,10,55,15,20,80,200
130,Gyarados,갸라도스,Gyarados,Default,Water,Flying,1,FALSE,50,50,5,Water2,Dragon,45,Slow,Ordinary,95,125,79,60,100,81,540
130,Gyarados,갸라도스,Mega Gyarados,Mega,Water,Dark,1,FALSE,50,50,5,Water2,Dragon,45,Slow,Ordinary,95,155,109,70,130,81,640
131,Lapras,라프라스,Lapras,Default,Water,Ice,1,FALSE,50,50,40,Monster,Water1,45,Slow,Ordinary,130,85,80,85,95,60,535
132,Ditto,메타몽,Ditto,Default,Normal,None,1,TRUE,0,0,20,Ditto,,35,MediumFast,Ordinary,48,48,48,48,48,48,288
